LMKTYPE_ID,DESCRIPTION,UD_FRENCH_DESC,DESCRIPTION,DESC_SOUNDEX,UD_FRENCH_DESC,TELEPHONE,PUBLIC_INFO,MUNICIP_NO,NAME_1,COORD_X,COORD_Y
WORSHIP,Place of Worship,Lieux de culte,Jehovah's Witness - Kanata,JEOVA'S WITNES - KANATA,Jehova''s Witness - Kanata,591-9067,300 MAPLE GROVE RD.,1,OTTAWA,351352,5017766
WORSHIP,Place of Worship,Lieux de culte,Hare Krishna Temple,TENPLE ARE KRICHNA,Temple Hare Krishna,565-6544,212 SOMERSET E,1,OTTAWA,369057,5031716
WORSHIP,Place of Worship,Lieux de culte,Mennonite Church Ottawa,EGLISE MENONITE D'OTA,Église Mennonite d'Ottawa,733-6729,1830 KILBORN,1,OTTAWA,371843,5027853
WORSHIP,Place of Worship,Lieux de culte,Fifth Avenue Free Methodist,FIF AVENUE FRE METODIS,Fifth Avenue Free Methodist,233-1870,2 MONK,1,OTTAWA,368324,5029327
WORSHIP,Place of Worship,Lieux de culte,Highland Park Standard,IGLEN PARK STENDAR,Highland Park Standard,729-1627,415 KENWOOD,1,OTTAWA,363116,5027833
WORSHIP,Place of Worship,Lieux de culte,Sunnyside Wesleyan,SUNISIDE WESLEYEN,Sunnyside Wesleyan,730-9411,58 GROSVENOR AVE.,1,OTTAWA,368503,5028469
WORSHIP,Place of Worship,Lieux de culte,Eglesia de Cristo Misionera,EGLESIA DE KRISTO MISIONERA,Eglesia de Cristo Misionera,728-5935,969 WELLINGTON,1,OTTAWA,365649,5029881
WORSHIP,Place of Worship,Lieux de culte,Chinese Christian of Ottawa,CHINESE CHRISTIEN D'OTA,Chinese Christian d'Ottawa,563-3043,116 EMPRESS AVE.,1,OTTAWA,366736,5030423
WORSHIP,Place of Worship,Lieux de culte,Church of Christ,EGLISE DU CHRIS,Église du Christ,733-2580,1515 CHOMLEY CRESC.,1,OTTAWA,371681,5030178
WORSHIP,Place of Worship,Lieux de culte,Church of God of Prophecy,EGLISE DE GOD OF PROFESSI,Église de God of Prophecy,724-1167,930 MERIVALE,1,OTTAWA,364836,5027195
WORSHIP,Place of Worship,Lieux de culte,Church of Scientology,EGLISE DE SIENTOLOJI,Église de Scientology,230-5701,203-150 RIDEAU ST.,1,OTTAWA,368188,5032196
WORSHIP,Place of Worship,Lieux de culte,Fire of God Church,EGLISE FIRE OF GOD,Église Fire of God,789-4700,212 MURRAY ST.,1,OTTAWA,368221,5032678
WORSHIP,Place of Worship,Lieux de culte,Korean Community Church,EGLISE KOREN KOMUNITI,Église Korean Community,236-4442,650 LYON ST.,1,OTTAWA,368022,5029612
WORSHIP,Place of Worship,Lieux de culte,Christ the Saviour Orthodox,CHRIS TE SAVIOR ORTODOX,Christ the Savior Orthodox,723-7790,347 RICHMOND RD.,1,OTTAWA,363192,5028284
WORSHIP,Place of Worship,Lieux de culte,Holy Trinity Bukovinian Orthodox,OLI TRINITI BUKOVINIEN ORTODOX,Holy Trinity Bukovinian Orthodox,230-4113,58 ARTHUR,1,OTTAWA,366810,5030415
WORSHIP,Place of Worship,Lieux de culte,St Elias Antiochian,ST-ELIAS ENTIOCHIEN,St-Elias Antiochian,738-2222,2975 Riverside,1,OTTAWA,368299,5025584
WORSHIP,Place of Worship,Lieux de culte,Sveti Stefan Church,EGLISE SVETI STEFEN,Église Sveti Stefan,738-8045,3662 ALBION RD.,1,OTTAWA,372116,5023612
